org.la4j.matrix.dense.Basic1DMatrixTest.testMultiply_4x4_4x4 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 11ms 10ms 10ms 11ms 9ms 10ms 10ms 10ms 9ms 22ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 15ms 
org.la4j.vector.dense.BasicVectorTest.testProduct_3 9ms 9ms 10ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 10ms 10ms 9ms 9ms 10ms 9ms 9ms 10ms 9ms 9ms 10ms 10ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 10ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 10ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 10ms 9ms 9ms 10ms 9ms 9ms 10ms 9ms 9ms 9ms 10ms 9ms 9ms 12ms 9ms 10ms 9ms 9ms 9ms 9ms 10ms 
org.la4j.matrix.dense.Basic1DMatrixTest.testMultiply_4x9_9x4 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 9ms 9ms 11ms 9ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 9ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 9ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 9ms 10ms 9ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 9ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 
org.la4j.matrix.sparse.CRSMatrixTest.testMultiply_4x4_4x4 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 10ms 10ms 10ms 10ms 11ms 11ms 11ms 11ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 11ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 11ms 10ms 11ms 11ms 10ms 10ms 11ms 11ms 11ms 10ms 10ms 10ms 11ms 11ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 11ms 11ms 11ms 10ms 10ms 11ms 11ms 11ms 10ms 11ms 10ms 10ms 11ms 10ms 10ms 12ms 11ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 11ms 
org.la4j.matrix.dense.Basic1DMatrixTest.testCopy_3x3 9ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 9ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 9ms 10ms 13ms 9ms 11ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 11ms 9ms 9ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 11ms 9ms 10ms 9ms 10ms 9ms 9ms 9ms 10ms 11ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 11ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 9ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 
org.la4j.matrix.dense.Basic2DMatrixTest.testRank_4x4_2 11ms 11ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 9ms 11ms 10ms 11ms 10ms 10ms 10ms 11ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 11ms 10ms 10ms 
org.la4j.matrix.dense.Basic2DMatrixTest.testSum_3x3 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 9ms 10ms 10ms 13ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 9ms 9ms 13ms 9ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 9ms 9ms 10ms 10ms 10ms 9ms 9ms 10ms 9ms 9ms 9ms 10ms 10ms 10ms 10ms 11ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 
org.la4j.matrix.dense.Basic2DMatrixTest.testSlice_3x4_to_1x4 9ms 10ms 10ms 9ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 9ms 9ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 9ms 10ms 10ms 10ms 9ms 9ms 10ms 10ms 11ms 10ms 9ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 9ms 11ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 
org.la4j.matrix.dense.Basic2DMatrixTest.testRank_5x3 20ms 23ms 24ms 19ms 24ms 26ms 19ms 23ms 21ms 20ms 20ms 23ms 20ms 23ms 21ms 31ms 24ms 35ms 31ms 24ms 24ms 20ms 22ms 23ms 28ms 21ms 23ms 25ms 20ms 36ms 34ms 23ms 22ms 20ms 22ms 23ms 21ms 22ms 22ms 22ms 19ms 20ms 19ms 22ms 24ms 24ms 21ms 22ms 26ms 22ms 21ms 23ms 24ms 20ms 20ms 22ms 21ms 24ms 26ms 34ms 21ms 24ms 25ms 24ms 36ms 21ms 19ms 20ms 26ms 23ms 20ms 31ms 23ms 21ms 19ms 21ms 23ms 24ms 22ms 32ms 32ms 20ms 23ms 21ms 36ms 20ms 20ms 22ms 23ms 20ms 20ms 26ms 21ms 22ms 20ms 20ms 21ms 24ms 20ms 21ms 
org.la4j.matrix.dense.Basic1DMatrixTest.testColumnAccess_3x3 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 12ms 10ms 10ms 10ms 10ms 11ms 10ms 12ms 
