org.scribe.extractors.BaseStringExtractorTest.shouldExtractBaseStringFromOAuthRequest 29ms 29ms 30ms 29ms 30ms 30ms 30ms 29ms 29ms 29ms 29ms 29ms 30ms 30ms 30ms 30ms 30ms 29ms 29ms 30ms 30ms 30ms 29ms 30ms 29ms 29ms 30ms 30ms 29ms 29ms 30ms 29ms 29ms 30ms 30ms 30ms 30ms 30ms 30ms 30ms 29ms 30ms 29ms 29ms 29ms 30ms 30ms 32ms 30ms 30ms 30ms 29ms 29ms 30ms 29ms 29ms 29ms 30ms 30ms 29ms 29ms 29ms 30ms 29ms 29ms 29ms 29ms 29ms 30ms 31ms 29ms 30ms 29ms 29ms 30ms 30ms 30ms 29ms 29ms 30ms 30ms 29ms 29ms 29ms 30ms 30ms 29ms 30ms 29ms 30ms 30ms 30ms 29ms 29ms 30ms 30ms 29ms 30ms 29ms 30ms 
org.scribe.builder.ServiceBuilderTest.shouldNotAcceptAnInvalidUrlAsCallback 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 
org.scribe.services.HMACSha1SignatureServiceTest.shouldReturnSignature 23ms 23ms 23ms 23ms 23ms 23ms 24ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 22ms 23ms 22ms 22ms 23ms 22ms 22ms 23ms 22ms 22ms 23ms 23ms 22ms 22ms 22ms 23ms 22ms 23ms 23ms 23ms 23ms 23ms 22ms 23ms 23ms 22ms 23ms 23ms 23ms 23ms 23ms 23ms 24ms 22ms 24ms 22ms 23ms 23ms 23ms 22ms 24ms 23ms 22ms 23ms 23ms 23ms 23ms 23ms 23ms 22ms 23ms 23ms 23ms 24ms 24ms 23ms 23ms 23ms 22ms 23ms 23ms 23ms 24ms 30ms 23ms 23ms 23ms 23ms 23ms 22ms 23ms 23ms 23ms 22ms 23ms 23ms 22ms 23ms 22ms 23ms 23ms 22ms 23ms 22ms 23ms 
org.scribe.extractors.HeaderExtractorTest.shouldExceptionIfRequestHasNoOAuthParams 7ms 8ms 8ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 8ms 7ms 8ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 8ms 7ms 7ms 7ms 7ms 8ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 8ms 8ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 8ms 7ms 8ms 8ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 
org.scribe.services.HMACSha1SignatureServiceTest.shouldThrowExceptionIfBaseStringIsNull 10ms 10ms 9ms 10ms 15ms 9ms 9ms 10ms 9ms 10ms 9ms 10ms 12ms 9ms 9ms 10ms 10ms 15ms 16ms 10ms 10ms 10ms 10ms 10ms 9ms 9ms 15ms 10ms 12ms 9ms 14ms 10ms 23ms 10ms 9ms 20ms 10ms 10ms 10ms 16ms 9ms 17ms 10ms 10ms 9ms 10ms 9ms 9ms 9ms 10ms 10ms 10ms 9ms 9ms 10ms 10ms 17ms 9ms 9ms 31ms 26ms 13ms 10ms 9ms 15ms 10ms 11ms 9ms 10ms 10ms 9ms 10ms 10ms 9ms 9ms 9ms 13ms 10ms 9ms 10ms 9ms 10ms 9ms 10ms 10ms 13ms 10ms 10ms 10ms 16ms 11ms 9ms 9ms 10ms 10ms 10ms 15ms 9ms 9ms 9ms 
org.scribe.extractors.HeaderExtractorTest.shouldExceptionIfRequestIsNull 6ms 5ms 7ms 6ms 5ms 6ms 5ms 5ms 5ms 7ms 6ms 7ms 5ms 5ms 5ms 6ms 6ms 7ms 6ms 7ms 6ms 5ms 6ms 6ms 5ms 5ms 6ms 5ms 6ms 5ms 5ms 7ms 6ms 5ms 6ms 5ms 6ms 6ms 5ms 6ms 5ms 5ms 6ms 6ms 5ms 6ms 5ms 5ms 6ms 6ms 5ms 6ms 5ms 7ms 6ms 5ms 6ms 6ms 5ms 5ms 5ms 5ms 5ms 6ms 6ms 6ms 7ms 5ms 6ms 6ms 5ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 7ms 5ms 6ms 6ms 6ms 5ms 5ms 6ms 8ms 6ms 8ms 6ms 6ms 5ms 6ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 
org.scribe.model.OAuthConfigTest.shouldOverrideDefaultsIfSet 6ms 6ms 6ms 6ms 5ms 5ms 6ms 5ms 6ms 7ms 5ms 6ms 5ms 6ms 5ms 6ms 6ms 10ms 5ms 6ms 6ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 5ms 6ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 6ms 5ms 6ms 6ms 6ms 5ms 7ms 5ms 5ms 5ms 5ms 7ms 5ms 5ms 5ms 5ms 6ms 5ms 5ms 5ms 5ms 5ms 6ms 7ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 5ms 6ms 6ms 5ms 5ms 5ms 5ms 6ms 6ms 8ms 7ms 6ms 5ms 5ms 5ms 6ms 5ms 5ms 6ms 6ms 5ms 
org.scribe.utils.URLUtilsTest.shouldFormURLDecodeString 5ms 4ms 5ms 4ms 5ms 6ms 5ms 4ms 5ms 5ms 5ms 5ms 5ms 5ms 4ms 5ms 4ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 4ms 5ms 4ms 5ms 5ms 5ms 5ms 5ms 4ms 5ms 5ms 6ms 5ms 4ms 5ms 5ms 5ms 5ms 6ms 5ms 6ms 6ms 5ms 5ms 5ms 5ms 5ms 5ms 6ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 6ms 5ms 6ms 4ms 4ms 5ms 5ms 6ms 5ms 5ms 5ms 6ms 5ms 5ms 5ms 5ms 6ms 4ms 6ms 5ms 4ms 4ms 5ms 5ms 5ms 5ms 4ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 
org.scribe.builder.ServiceBuilderTest.shouldAcceptValidCallbackUrl 5ms 5ms 5ms 6ms 5ms 5ms 5ms 4ms 5ms 5ms 5ms 8ms 5ms 5ms 5ms 7ms 6ms 5ms 5ms 8ms 7ms 5ms 8ms 5ms 5ms 5ms 5ms 5ms 5ms 4ms 5ms 7ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 4ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 7ms 8ms 5ms 5ms 5ms 5ms 5ms 7ms 7ms 8ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 4ms 5ms 8ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 
org.scribe.utils.URLUtilsTest.shouldAppendParametersToUrlWithQuerystring 5ms 5ms 5ms 7ms 5ms 5ms 5ms 4ms 6ms 7ms 5ms 6ms 5ms 5ms 5ms 6ms 7ms 5ms 5ms 5ms 5ms 5ms 6ms 5ms 6ms 5ms 5ms 5ms 5ms 4ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 8ms 5ms 5ms 5ms 5ms 6ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 6ms 5ms 6ms 5ms 5ms 5ms 5ms 6ms 6ms 6ms 5ms 5ms 5ms 5ms 8ms 5ms 6ms 4ms 5ms 5ms 4ms 5ms 5ms 5ms 5ms 8ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 
org.scribe.utils.URLUtilsTest.shouldPercentEncodeString 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 4ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 4ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 4ms 5ms 5ms 4ms 4ms 5ms 5ms 5ms 5ms 5ms 5ms 4ms 5ms 5ms 6ms 4ms 4ms 5ms 4ms 5ms 5ms 5ms 5ms 5ms 4ms 5ms 4ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 4ms 4ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 5ms 4ms 4ms 
