org.scribe.services.HMACSha1SignatureServiceTest.shouldReturnSignature 27ms 48ms 27ms 27ms 29ms 26ms 27ms 27ms 36ms 29ms 28ms 33ms 27ms 33ms 36ms 32ms 27ms 45ms 28ms 28ms 28ms 28ms 27ms 30ms 27ms 27ms 34ms 27ms 28ms 27ms 32ms 26ms 27ms 32ms 27ms 29ms 27ms 27ms 33ms 34ms 27ms 34ms 30ms 29ms 29ms 27ms 28ms 32ms 28ms 27ms 28ms 27ms 39ms 27ms 30ms 26ms 42ms 26ms 27ms 38ms 46ms 27ms 27ms 27ms 27ms 27ms 33ms 28ms 28ms 47ms 33ms 32ms 29ms 27ms 26ms 30ms 28ms 29ms 28ms 27ms 32ms 33ms 31ms 42ms 27ms 34ms 27ms 33ms 32ms 29ms 33ms 27ms 27ms 29ms 27ms 33ms 27ms 40ms 30ms 27ms 
org.scribe.extractors.HeaderExtractorTest.shouldExceptionIfRequestHasNoOAuthParams 7ms 6ms 6ms 7ms 6ms 8ms 7ms 7ms 8ms 8ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 8ms 7ms 6ms 7ms 9ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 6ms 7ms 7ms 7ms 6ms 8ms 7ms 7ms 7ms 6ms 7ms 8ms 8ms 6ms 8ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 9ms 6ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 8ms 8ms 7ms 7ms 7ms 6ms 10ms 7ms 7ms 6ms 6ms 7ms 6ms 7ms 8ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 9ms 6ms 7ms 
org.scribe.services.HMACSha1SignatureServiceTest.shouldThrowExceptionIfBaseStringIsNull 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 7ms 7ms 6ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 
org.scribe.extractors.TokenExtractor20Test.shouldExtractTokenFromOAuthStandardResponse 7ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 7ms 8ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 
org.scribe.extractors.HeaderExtractorTest.shouldExceptionIfRequestIsNull 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 7ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 6ms 7ms 
org.scribe.model.OAuthConfigTest.shouldOverrideDefaultsIfSet 6ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 6ms 6ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 
org.scribe.utils.URLUtilsTest.shouldFormURLDecodeString 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 5ms 5ms 6ms 6ms 5ms 5ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 5ms 6ms 5ms 5ms 6ms 5ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 
org.scribe.extractors.JsonTokenExtractorTest.shouldThrowExceptionIfForEmptyStrings 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 6ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 6ms 5ms 6ms 5ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 5ms 10ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 
org.scribe.utils.URLUtilsTest.shouldAppendParametersToUrlWithQuerystring 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 9ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 9ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 10ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 6ms 7ms 7ms 7ms 7ms 10ms 7ms 7ms 
org.scribe.builder.ServiceBuilderTest.shouldAcceptValidCallbackUrl 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 
