org.scribe.extractors.BaseStringExtractorTest.shouldExtractBaseStringFromOAuthRequest 37ms 37ms 36ms 36ms 36ms 38ms 37ms 36ms 36ms 36ms 37ms 37ms 37ms 37ms 37ms 36ms 37ms 36ms 37ms 36ms 36ms 36ms 37ms 36ms 36ms 36ms 37ms 37ms 36ms 36ms 36ms 36ms 36ms 36ms 37ms 37ms 36ms 37ms 37ms 36ms 36ms 36ms 37ms 36ms 37ms 38ms 37ms 36ms 36ms 36ms 36ms 37ms 36ms 37ms 36ms 36ms 36ms 37ms 36ms 37ms 37ms 36ms 37ms 37ms 36ms 36ms 36ms 37ms 36ms 36ms 36ms 37ms 36ms 36ms 36ms 37ms 37ms 36ms 37ms 36ms 36ms 36ms 36ms 38ms 38ms 36ms 36ms 37ms 36ms 37ms 36ms 37ms 36ms 37ms 37ms 36ms 37ms 36ms 37ms 38ms 
org.scribe.model.TokenTest.shouldNotBeEqualToNullOrOtherObjects 8ms 7ms 7ms 7ms 7ms 13ms 7ms 8ms 7ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 8ms 10ms 7ms 8ms 8ms 8ms 8ms 8ms 9ms 9ms 8ms 9ms 8ms 8ms 8ms 8ms 7ms 10ms 7ms 7ms 8ms 8ms 9ms 8ms 9ms 8ms 7ms 8ms 8ms 8ms 7ms 9ms 8ms 8ms 7ms 9ms 7ms 7ms 7ms 9ms 10ms 9ms 8ms 9ms 8ms 7ms 8ms 8ms 7ms 7ms 7ms 8ms 7ms 7ms 9ms 7ms 7ms 9ms 10ms 8ms 8ms 8ms 8ms 7ms 7ms 10ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 10ms 8ms 7ms 8ms 8ms 8ms 7ms 11ms 8ms 7ms 9ms 
org.scribe.services.HMACSha1SignatureServiceTest.shouldReturnSignature 27ms 23ms 23ms 22ms 22ms 27ms 22ms 23ms 22ms 23ms 23ms 23ms 23ms 24ms 23ms 23ms 22ms 23ms 22ms 23ms 24ms 22ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 30ms 23ms 24ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 22ms 24ms 23ms 23ms 24ms 23ms 23ms 22ms 22ms 22ms 23ms 23ms 22ms 23ms 23ms 22ms 23ms 23ms 23ms 23ms 24ms 23ms 24ms 23ms 22ms 23ms 23ms 22ms 22ms 23ms 22ms 26ms 22ms 26ms 22ms 22ms 23ms 23ms 23ms 23ms 23ms 22ms 22ms 22ms 23ms 23ms 23ms 23ms 23ms 30ms 23ms 23ms 23ms 23ms 23ms 30ms 24ms 23ms 23ms 23ms 
org.scribe.model.RequestTest.shouldReturnTheCompleteUrl 8ms 7ms 7ms 8ms 8ms 11ms 8ms 7ms 9ms 7ms 9ms 7ms 8ms 9ms 7ms 7ms 8ms 8ms 7ms 7ms 7ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 10ms 9ms 7ms 8ms 7ms 9ms 7ms 7ms 7ms 7ms 8ms 7ms 10ms 8ms 8ms 7ms 9ms 8ms 8ms 11ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 9ms 8ms 8ms 7ms 11ms 7ms 7ms 7ms 7ms 8ms 8ms 8ms 7ms 7ms 7ms 9ms 8ms 8ms 7ms 7ms 8ms 8ms 7ms 8ms 7ms 7ms 7ms 7ms 10ms 7ms 8ms 8ms 7ms 8ms 8ms 8ms 7ms 9ms 7ms 7ms 8ms 
org.scribe.extractors.HeaderExtractorTest.shouldExceptionIfRequestHasNoOAuthParams 7ms 7ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 9ms 6ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 6ms 7ms 6ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 9ms 7ms 7ms 6ms 7ms 7ms 9ms 7ms 7ms 7ms 6ms 
org.scribe.utils.PreconditionsTest.shouldAllowOutOfBandAsValidCallbackValue 7ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 8ms 6ms 7ms 6ms 7ms 7ms 6ms 8ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 
org.scribe.services.HMACSha1SignatureServiceTest.shouldThrowExceptionIfBaseStringIsNull 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 6ms 7ms 6ms 10ms 7ms 6ms 6ms 7ms 7ms 11ms 7ms 7ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 6ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 
org.scribe.extractors.TokenExtractor20Test.shouldExtractTokenFromOAuthStandardResponse 7ms 7ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 8ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 8ms 7ms 6ms 6ms 6ms 6ms 8ms 7ms 7ms 7ms 6ms 
org.scribe.extractors.HeaderExtractorTest.shouldExceptionIfRequestIsNull 8ms 6ms 6ms 7ms 6ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 10ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 7ms 7ms 8ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 6ms 7ms 7ms 10ms 6ms 7ms 6ms 6ms 7ms 9ms 6ms 6ms 6ms 6ms 
org.scribe.services.RSASha1SignatureServiceTest.shouldReturnSignatureMethodString 15ms 9ms 10ms 9ms 10ms 10ms 9ms 9ms 10ms 10ms 10ms 10ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 10ms 10ms 10ms 14ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 10ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 10ms 10ms 9ms 10ms 9ms 10ms 9ms 9ms 10ms 9ms 10ms 9ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 9ms 9ms 9ms 9ms 10ms 14ms 9ms 14ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 10ms 14ms 9ms 10ms 9ms 9ms 9ms 14ms 9ms 10ms 10ms 10ms 
org.scribe.model.TokenTest.shouldNotDependOnRawString 9ms 7ms 7ms 7ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 9ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 10ms 6ms 9ms 6ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 9ms 6ms 7ms 6ms 6ms 6ms 9ms 6ms 6ms 6ms 7ms 
