org.scribe.model.RequestTest.shouldSetPayloadAndHeaders 28ms 28ms 28ms 27ms 29ms 26ms 29ms 29ms 28ms 28ms 28ms 29ms 28ms 28ms 29ms 28ms 28ms 29ms 28ms 28ms 29ms 28ms 29ms 26ms 28ms 28ms 29ms 26ms 28ms 30ms 28ms 28ms 29ms 28ms 29ms 28ms 29ms 27ms 28ms 28ms 28ms 28ms 27ms 28ms 27ms 28ms 28ms 28ms 27ms 29ms 28ms 28ms 28ms 27ms 28ms 29ms 29ms 28ms 28ms 28ms 28ms 29ms 28ms 27ms 27ms 28ms 28ms 29ms 28ms 28ms 28ms 26ms 28ms 28ms 26ms 26ms 28ms 29ms 28ms 29ms 28ms 29ms 28ms 28ms 28ms 28ms 26ms 28ms 28ms 28ms 29ms 29ms 28ms 29ms 27ms 28ms 28ms 28ms 26ms 17ms 
org.scribe.model.ParameterListTest.shouldAppendParametersToUrlWithQuerystring 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 9ms 8ms 9ms 7ms 8ms 7ms 8ms 8ms 7ms 8ms 8ms 8ms 7ms 7ms 9ms 7ms 8ms 7ms 7ms 7ms 8ms 8ms 9ms 10ms 8ms 9ms 7ms 8ms 7ms 8ms 7ms 8ms 8ms 7ms 7ms 8ms 8ms 7ms 7ms 8ms 9ms 7ms 7ms 7ms 8ms 8ms 10ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 9ms 8ms 8ms 8ms 8ms 9ms 8ms 7ms 8ms 9ms 7ms 7ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 7ms 7ms 9ms 7ms 
org.scribe.model.TokenTest.shouldReturnSameHashCodeForEqualObjects 6ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 6ms 7ms 7ms 7ms 7ms 8ms 6ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 
org.scribe.services.HMACSha1SignatureServiceTest.shouldThrowExceptionIfApiSecretIsNull 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 8ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 8ms 7ms 7ms 9ms 7ms 7ms 7ms 6ms 7ms 7ms 9ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 10ms 8ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 
org.scribe.extractors.TokenExtractorTest.shouldExtractTokenFromInvertedOAuthStandardResponse 7ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 6ms 8ms 7ms 6ms 7ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 14ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 6ms 7ms 
org.scribe.services.TimestampServiceTest.shouldReturnTimestampInSeconds 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 8ms 8ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 8ms 8ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 8ms 8ms 8ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 8ms 8ms 7ms 8ms 7ms 7ms 8ms 7ms 8ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 7ms 8ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 8ms 8ms 8ms 7ms 8ms 8ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 
org.scribe.builder.ServiceBuilderTest.shouldAcceptASignatureType 8ms 7ms 8ms 7ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 7ms 8ms 7ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 7ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 7ms 7ms 7ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 7ms 8ms 8ms 8ms 
org.scribe.model.OAuthRequestTest.shouldThrowExceptionIfParameterIsNotOAuth 7ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 6ms 8ms 7ms 7ms 7ms 7ms 7ms 6ms 8ms 6ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 8ms 9ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 
org.scribe.extractors.TokenExtractor20Test.shouldThrowExceptionIfTokenIsAbsent 6ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 6ms 10ms 7ms 6ms 6ms 6ms 7ms 6ms 9ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 7ms 7ms 10ms 10ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 
org.scribe.utils.OAuthEncoderTest.shouldThrowExceptionIfStringToEncodeIsNull 6ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 9ms 7ms 6ms 6ms 6ms 6ms 6ms 9ms 7ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 9ms 10ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 6ms 6ms 6ms 7ms 6ms 7ms 7ms 7ms 
org.scribe.extractors.TokenExtractor20Test.shouldThrowExceptionIfResponseIsNull 7ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 7ms 6ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 9ms 6ms 7ms 7ms 7ms 6ms 7ms 9ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 9ms 10ms 7ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 6ms 
