org.scribe.services.HMACSha1SignatureServiceTest.shouldReturnSignature 25ms 25ms 24ms 24ms 25ms 24ms 25ms 25ms 25ms 24ms 25ms 24ms 26ms 25ms 25ms 25ms 25ms 25ms 25ms 24ms 24ms 25ms 24ms 25ms 24ms 25ms 24ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 26ms 25ms 25ms 24ms 25ms 25ms 24ms 24ms 25ms 24ms 24ms 25ms 25ms 24ms 25ms 24ms 24ms 24ms 25ms 25ms 25ms 25ms 24ms 25ms 25ms 25ms 25ms 25ms 24ms 24ms 24ms 25ms 25ms 24ms 25ms 26ms 25ms 26ms 25ms 24ms 24ms 25ms 25ms 24ms 25ms 25ms 25ms 24ms 24ms 24ms 24ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 24ms 25ms 24ms 25ms 25ms 24ms 
org.scribe.extractors.HeaderExtractorTest.shouldExceptionIfRequestHasNoOAuthParams 10ms 10ms 12ms 10ms 15ms 14ms 29ms 10ms 32ms 33ms 16ms 17ms 10ms 20ms 10ms 10ms 13ms 10ms 11ms 10ms 15ms 10ms 11ms 10ms 11ms 16ms 17ms 10ms 9ms 10ms 10ms 10ms 11ms 10ms 10ms 22ms 12ms 10ms 15ms 10ms 10ms 15ms 11ms 10ms 9ms 10ms 12ms 13ms 10ms 10ms 16ms 10ms 13ms 15ms 10ms 10ms 10ms 10ms 15ms 10ms 10ms 10ms 13ms 10ms 15ms 14ms 10ms 10ms 10ms 10ms 16ms 9ms 10ms 16ms 10ms 10ms 10ms 11ms 21ms 10ms 16ms 10ms 10ms 16ms 18ms 10ms 10ms 13ms 25ms 10ms 10ms 16ms 10ms 10ms 10ms 18ms 13ms 11ms 11ms 10ms 
org.scribe.services.HMACSha1SignatureServiceTest.shouldThrowExceptionIfBaseStringIsNull 7ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 9ms 7ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 7ms 6ms 7ms 8ms 7ms 7ms 8ms 7ms 8ms 6ms 6ms 7ms 6ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 8ms 6ms 6ms 7ms 6ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 
org.scribe.extractors.TokenExtractor20Test.shouldExtractTokenFromOAuthStandardResponse 7ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 6ms 8ms 10ms 7ms 6ms 7ms 6ms 8ms 6ms 9ms 8ms 7ms 7ms 6ms 7ms 8ms 6ms 6ms 7ms 6ms 7ms 9ms 8ms 7ms 9ms 6ms 7ms 7ms 6ms 6ms 7ms 8ms 6ms 6ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 8ms 7ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 8ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 
org.scribe.extractors.HeaderExtractorTest.shouldExceptionIfRequestIsNull 7ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 8ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 7ms 7ms 6ms 8ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 6ms 7ms 8ms 7ms 7ms 6ms 6ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 6ms 7ms 8ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 6ms 7ms 6ms 7ms 7ms 7ms 7ms 7ms 6ms 7ms 6ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 6ms 7ms 6ms 7ms 6ms 7ms 8ms 8ms 6ms 6ms 7ms 7ms 7ms 7ms 8ms 6ms 
org.scribe.model.OAuthConfigTest.shouldOverrideDefaultsIfSet 7ms 6ms 7ms 10ms 7ms 7ms 7ms 7ms 8ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 6ms 6ms 7ms 7ms 9ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 6ms 7ms 7ms 7ms 7ms 9ms 7ms 7ms 7ms 7ms 10ms 10ms 7ms 11ms 7ms 6ms 9ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 6ms 6ms 9ms 7ms 7ms 7ms 6ms 7ms 8ms 8ms 7ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 9ms 7ms 
org.scribe.utils.URLUtilsTest.shouldFormURLDecodeString 5ms 6ms 6ms 6ms 5ms 5ms 5ms 5ms 6ms 5ms 6ms 6ms 5ms 5ms 5ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 6ms 6ms 5ms 6ms 5ms 6ms 5ms 5ms 5ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 5ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 5ms 5ms 6ms 5ms 5ms 6ms 6ms 6ms 5ms 6ms 5ms 5ms 5ms 6ms 5ms 5ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 5ms 5ms 6ms 6ms 6ms 5ms 5ms 5ms 6ms 6ms 6ms 5ms 5ms 5ms 5ms 
org.scribe.extractors.JsonTokenExtractorTest.shouldThrowExceptionIfForEmptyStrings 5ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 5ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 5ms 6ms 5ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 6ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 5ms 6ms 5ms 5ms 6ms 5ms 6ms 6ms 5ms 5ms 6ms 5ms 5ms 6ms 6ms 5ms 6ms 5ms 
org.scribe.utils.URLUtilsTest.shouldAppendParametersToUrlWithQuerystring 6ms 6ms 5ms 8ms 6ms 5ms 6ms 6ms 9ms 5ms 5ms 5ms 6ms 6ms 6ms 5ms 5ms 5ms 6ms 5ms 6ms 6ms 5ms 6ms 5ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 5ms 5ms 5ms 6ms 9ms 6ms 5ms 5ms 5ms 5ms 6ms 7ms 7ms 5ms 5ms 5ms 5ms 7ms 8ms 6ms 7ms 6ms 6ms 7ms 6ms 6ms 6ms 5ms 6ms 6ms 5ms 5ms 5ms 6ms 5ms 5ms 6ms 6ms 5ms 6ms 5ms 5ms 7ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 7ms 6ms 
org.scribe.builder.ServiceBuilderTest.shouldAcceptValidCallbackUrl 6ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 7ms 6ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 7ms 5ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 
org.scribe.utils.URLUtilsTest.shouldPercentEncodeString 6ms 5ms 6ms 8ms 5ms 6ms 6ms 5ms 8ms 5ms 6ms 6ms 5ms 5ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 5ms 6ms 6ms 6ms 5ms 6ms 5ms 5ms 6ms 6ms 5ms 9ms 6ms 9ms 6ms 6ms 6ms 6ms 9ms 5ms 6ms 6ms 6ms 6ms 6ms 9ms 9ms 6ms 5ms 6ms 6ms 8ms 9ms 5ms 8ms 6ms 5ms 8ms 5ms 5ms 6ms 5ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 5ms 6ms 9ms 6ms 5ms 5ms 6ms 5ms 5ms 6ms 5ms 6ms 5ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 8ms 5ms 
org.scribe.services.HMACSha1SignatureServiceTest.shouldThrowExceptionIfApiSecretIsNull 6ms 6ms 6ms 8ms 6ms 5ms 5ms 5ms 8ms 6ms 6ms 6ms 5ms 5ms 5ms 5ms 5ms 6ms 6ms 5ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 6ms 6ms 6ms 5ms 7ms 6ms 7ms 5ms 5ms 5ms 6ms 8ms 6ms 5ms 5ms 6ms 5ms 6ms 7ms 7ms 6ms 5ms 5ms 5ms 7ms 8ms 6ms 7ms 6ms 6ms 7ms 6ms 5ms 6ms 5ms 5ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 6ms 5ms 5ms 5ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 5ms 5ms 6ms 7ms 5ms 
